VehicleMake,VehicleModel,YearOfBirth,Total,PASS,PASS %,FAIL,FAIL %,Vehicle and Safety Equipment,Vehicle and Safety Equipment %,Lighting and Electrical,Lighting and Electrical %,Steering and Suspension,Steering and Suspension %,Braking Equipment,Braking Equipment %,Wheels and Tyres,Wheels and Tyres %,"Engine, Noise and Exhaust","Engine, Noise and Exhaust %",Chassis and Body,Chassis and Body %,Side Slip Test,Side Slip Test %,Suspension Test,Suspension Test %,Light test,Light test %,Brake Test,Brake Test %,Emmissions,Emmissions %,OTHER,OTHER %,Incompletable,Incompletable %
MERCEDES BENZ,A SERIES,2000,18,4,22.2,14,77.8,4,22.2,7,38.9,7,38.9,3,16.7,3,16.7,2,11.1,1,5.6,7,38.9,0,0,2,11.1,5,27.8,1,5.6,0,0,0,0
MERCEDES BENZ,A SERIES,2001,22,6,27.3,16,72.7,1,4.5,9,40.9,5,22.7,4,18.2,3,13.6,2,9.1,4,18.2,4,18.2,5,22.7,2,9.1,4,18.2,2,9.1,0,0,0,0
MERCEDES BENZ,A SERIES,2002,20,11,55,9,45,1,5,3,15,4,20,2,10,2,10,2,10,0,0,2,10,3,15,0,0,2,10,0,0,0,0,0,0
MERCEDES BENZ,A SERIES,2003,34,6,17.6,28,82.4,6,17.6,9,26.5,5,14.7,4,11.8,6,17.6,1,2.9,4,11.8,4,11.8,5,14.7,6,17.6,7,20.6,1,2.9,0,0,0,0
MERCEDES BENZ,A SERIES,2004,31,12,38.7,19,61.3,3,9.7,6,19.4,6,19.4,2,6.5,7,22.6,0,0,0,0,3,9.7,4,12.9,5,16.1,3,9.7,2,6.5,1,3.2,0,0
MERCEDES BENZ,A SERIES,2005,25,9,36,16,64,5,20,5,20,5,20,2,8,5,20,3,12,0,0,2,8,3,12,5,20,2,8,0,0,0,0,0,0
MERCEDES BENZ,A SERIES,2006,10,5,50,5,50,2,20,1,10,2,20,3,30,0,0,2,20,0,0,1,10,2,20,0,0,3,30,1,10,0,0,0,0
MERCEDES BENZ,A SERIES,2007,11,3,27.3,8,72.7,2,18.2,2,18.2,1,9.1,2,18.2,2,18.2,1,9.1,0,0,2,18.2,0,0,4,36.4,2,18.2,0,0,0,0,0,0
MERCEDES BENZ,A SERIES,2008,40,23,57.5,17,42.5,3,7.5,5,12.5,4,10,2,5,4,10,0,0,0,0,2,5,3,7.5,4,10,4,10,2,5,0,0,0,0
MERCEDES BENZ,A SERIES,2009,14,6,42.9,8,57.1,1,7.1,2,14.3,1,7.1,1,7.1,2,14.3,0,0,0,0,1,7.1,2,14.3,1,7.1,1,7.1,0,0,0,0,0,0
MERCEDES BENZ,A SERIES,2010,39,25,64.1,14,35.9,1,2.6,6,15.4,1,2.6,2,5.1,4,10.3,0,0,0,0,1,2.6,1,2.6,4,10.3,2,5.1,1,2.6,0,0,0,0
MERCEDES BENZ,A SERIES,2011,7,6,85.7,1,14.3,0,0,0,0,1,14.3,0,0,0,0,0,0,0,0,0,0,0,0,1,14.3,0,0,0,0,0,0,0,0
MERCEDES BENZ,A SERIES,2012,28,20,71.4,8,28.6,1,3.6,5,17.9,0,0,0,0,3,10.7,0,0,0,0,0,0,2,7.1,0,0,0,0,0,0,0,0,0,0
