VehicleMake,VehicleModel,YearOfBirth,Total,PASS,PASS %,FAIL,FAIL %,Vehicle and Safety Equipment,Vehicle and Safety Equipment %,Lighting and Electrical,Lighting and Electrical %,Steering and Suspension,Steering and Suspension %,Braking Equipment,Braking Equipment %,Wheels and Tyres,Wheels and Tyres %,"Engine, Noise and Exhaust","Engine, Noise and Exhaust %",Chassis and Body,Chassis and Body %,Side Slip Test,Side Slip Test %,Suspension Test,Suspension Test %,Light test,Light test %,Brake Test,Brake Test %,Emmissions,Emmissions %,OTHER,OTHER %,Incompletable,Incompletable %
MERCEDES BENZ,S SERIES,2011,13,10,76.9,3,23.1,0,0,1,7.7,2,15.4,0,0,1,7.7,0,0,0,0,2,15.4,0,0,0,0,0,0,0,0,0,0,0,0
MERCEDES BENZ,S SERIES,2012,23,16,69.6,7,30.4,3,13,0,0,2,8.7,0,0,3,13,0,0,0,0,2,8.7,1,4.3,0,0,0,0,0,0,0,0,0,0
MERCEDES BENZ,S SERIES,2013,2,1,50,1,50,0,0,0,0,1,50,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0
MERCEDES BENZ,S SERIES,2014,3,2,66.7,1,33.3,1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MERCEDES BENZ,S SERIES,2015,1,0,0,1,100,0,0,0,0,0,0,0,0,1,100,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0
MERCEDES BENZ,S SERIES,2016,1,0,0,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOYOTA,COROLLA,1981,2,1,50,1,50,0,0,0,0,0,0,0,0,1,50,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOYOTA,COROLLA,1982,2,0,0,2,100,2,100,0,0,1,50,0,0,0,0,0,0,0,0,1,50,1,50,0,0,0,0,0,0,0,0,0,0
TOYOTA,COROLLA,1983,7,1,14.3,6,85.7,2,28.6,1,14.3,3,42.9,0,0,3,42.9,0,0,2,28.6,1,14.3,2,28.6,1,14.3,1,14.3,1,14.3,0,0,0,0
TOYOTA,COROLLA,1984,31,10,32.3,21,67.7,11,35.5,7,22.6,10,32.3,7,22.6,7,22.6,3,9.7,8,25.8,6,19.4,3,9.7,3,9.7,6,19.4,3,9.7,0,0,0,0
TOYOTA,COROLLA,1985,53,13,24.5,40,75.5,16,30.2,16,30.2,15,28.3,12,22.6,10,18.9,4,7.5,12,22.6,9,17,10,18.9,4,7.5,10,18.9,4,7.5,0,0,0,0
TOYOTA,COROLLA,1986,77,37,48.1,40,51.9,14,18.2,11,14.3,11,14.3,12,15.6,4,5.2,9,11.7,10,13,10,13,8,10.4,6,7.8,17,22.1,6,7.8,0,0,0,0
TOYOTA,COROLLA,1987,53,21,39.6,32,60.4,14,26.4,9,17,9,17,11,20.8,5,9.4,6,11.3,14,26.4,8,15.1,3,5.7,3,5.7,14,26.4,5,9.4,0,0,0,0
TOYOTA,COROLLA,1988,23,9,39.1,14,60.9,1,4.3,4,17.4,4,17.4,1,4.3,5,21.7,5,21.7,7,30.4,2,8.7,0,0,2,8.7,2,8.7,4,17.4,1,4.3,0,0
TOYOTA,COROLLA,1989,24,8,33.3,16,66.7,3,12.5,2,8.3,3,12.5,6,25,4,16.7,2,8.3,5,20.8,3,12.5,0,0,2,8.3,8,33.3,1,4.2,0,0,0,0
TOYOTA,COROLLA,1990,58,16,27.6,42,72.4,8,13.8,11,19,13,22.4,9,15.5,8,13.8,6,10.3,19,32.8,9,15.5,8,13.8,2,3.4,12,20.7,0,0,1,1.7,0,0
TOYOTA,COROLLA,1991,76,24,31.6,52,68.4,10,13.2,10,13.2,12,15.8,11,14.5,12,15.8,4,5.3,18,23.7,12,15.8,6,7.9,1,1.3,11,14.5,5,6.6,0,0,0,0
